Title,URL,Publication Date
Differentiated EUrope 2035: Elaboration and Evaluation of Five Potential Scenarios – EUIDEA,https://euidea.eu/2021/09/22/differentiated-europe-2035-elaboration-and-evaluation-of-five-potential-scenarios/,
Future of the European Banking Ecosystem 2035 | Deloitte Germany,https://www2.deloitte.com/de/de/pages/financial-services/articles/future-of-the-european-banking-ecosystem-2035.html,
The Future of Digital Transformation in the European Union 2035 | Deloitte Deutschland,https://www2.deloitte.com/de/de/pages/strategy/articles/future-of-digital-transformation-eu-2035.html,
Press corner | European Commission,https://ec.europa.eu/commission/presscorner/detail/en/IP_21_3541,
Mapping Scenarios of Differentiated EUrope 2025–2035 | IAI Istituto Affari Internazionali,https://www.iai.it/en/pubblicazioni/mapping-scenarios-differentiated-europe-2025-2035,
European landscapes 2035 : four scenarios for internal differentiation,https://cadmus.eui.eu/handle/1814/73669,
The future of the data society. Scenarios up to 2035 - Arenguseire Keskus,https://arenguseire.ee/en/reports/the-future-of-the-data-society-scenarios-up-to-2035/,
Three scenarios for European mobility in 2035 | COM,https://www.arval.com/three-scenarios-for-european-mobility-in-2035,
Brochure: Three scenarios for Europe’s food sector in 2035 - FOX,https://www.fox-foodprocessinginabox.eu/brochure-three-scenarios-for-europes-food-sector-in-2035/,
Mapping scenarios of differentiated EUrope 2035,https://ecpr.eu/Events/Event/PaperDetails/61573,
Future Scenario 2035: A Journey Through Time | Yokogawa Electric Corporation,https://www.yokogawa.com/library/resources/white-papers/future-scenario-2035-a-journey-through-time/,
New Generation | Clean Power Europe 2035 | Ember,https://ember-climate.org/insights/research/new-generation/,
Four future scenarios: the personal data economy in 2035 | Nesta,https://www.nesta.org.uk/feature/four-future-scenarios-personal-data-economy-2035/,
Study reports and briefs,https://renewables-grid.eu/topics/the-need-for-grids/future-scenarios/study-reports-and-briefs.html,
Facebook,https://www.facebook.com/euideaproject/photos/a.1177415069098889/1995661750607546/?type=3,
Scenario Development,https://www.pac-scenarios.eu/pac-scenario/scenario-development.html,
Net Zero by 2050 – Analysis - IEA,https://www.iea.org/reports/net-zero-by-2050,
Janis Emmanouilidis - EU Expert - Publications - Differentiated EUrope – Evaluation and Evaluation of Five Potential Scenarios - JANIS EMMANOUILIDIS.EU Expert Brussels,https://www.emmanouilidis.eu/publications/2021/differentiated_europe.php,
Sea Change for Europe’s Security Order | DGAP,https://dgap.org/en/research/publications/sea-change-europes-security-order,
Future Energy Scenarios 2022 | National Grid ESO,https://www.nationalgrideso.com/future-energy/future-energy-scenarios,
Future of Public Service Media | EBU,https://www.ebu.ch/future-of-public-service-media,
Time to act: Vehicle electrification will reshape the European Aftermarket - CLEPA – European Association of Automotive Suppliers,https://clepa.eu/mediaroom/time-to-act-vehicle-electrification-will-reshape-the-european-aftermarket/,
European Future Summits 2017 – Workshop I: Greece and the EU in 2035 | EURACTIV's Agenda,https://agenda.euractiv.com/events/european-future-summits-2017-workshop-i-greece-and-eu-2035-154703,
Regional impacts of electricity system transition in Central Europe until 2035 | Nature Communications,https://www.nature.com/articles/s41467-020-18812-y,
"“International Cooperation in the Arctic 2035 – The Four Scenarios”, Roman Vakulchuk (NUPI, Norway) – TEPSA",https://www.tepsa.eu/international-cooperation-in-the-arctic-2035-the-four-scenarios-roman-vakulchuk-nupi-norway/,
Publication - Projected EEG Costs up to 2035,https://www.agora-energiewende.de/en/publications/projected-eeg-costs-up-to-2035/,
Greece and the EU in 2035 - The future revisited: Friedrich-Ebert-Stiftung Griechenland,https://athens.fes.de/event/greece-and-the-eu-in-2035-the-future-revisited,
Global Scenarios 2035: Exploring Implications for the Future of Global Collaboration and the OECD | en | OECD,https://search.oecd.org/economy/global-scenarios-2035-df7ebc33-en.htm,
Why the future involves e-mobility | McKinsey,https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/why-the-automotive-future-is-electric,
Strategic Foresight | DLR Projektträger,https://projekttraeger.dlr.de/en/references/strategic-foresight,
"Droughts, fires and floods: How climate change will impact Europe – POLITICO",https://www.politico.eu/article/how-climate-change-will-widen-european-divide-road-to-cop26/,
An EU energy scenario compatible with the Paris Agreement - CAN Europe,https://caneurope.org/an-eu-energy-scenario-compatible-with-paris-agreement/,
Addressing the heavy-duty climate problem,https://www.transportenvironment.org/discover/addressing-the-heavy-duty-climate-problem/,
